est": {
    "algorithm": "RSA-4096-OAEP-SHA256 envelope key wrapping",
    "branch": "foundry-forge-runtime-transport-bootstrap-20260913",
    "encrypted_private_key_sha256": "050600a71d29ac39aff07906890de866c6eb6eaf12bfeef0518418e0f08330f3",
    "plaintext_private_key_committed": false,
    "private_key_at_rest": "AES-256-CBC PBKDF2-250000 under existing credentialed Cloudflare authority",
    "private_product_bytes_included": false,
    "public_key_der_fingerprint_sha256": "26d33dd95efcabbe1f74611c3d81c9381ca6b332cdbb6e99f33c15eff74f542f",
    "public_key_sha256": "c4412eda35e81593ef5e2cdd8ee4a64bac0b9e59ad68bde04d879376c25109bd",
    "purpose": "FOUNDRY + FORGE encrypted deployment payload transport only",
    "repository": "evansmusitu/mft-axiom-build",
    "schema": "musitu.foundry_forge.runtime_transport_key_bootstrap.v1"
  },
